## 第1週 1日目 キッチン・リビング
水道の蛇口をひねる|すいどうのじゃぐちをひねる——拧开自来水的水龙头
水が凍る|みずがこおる——水结冰
冷凍して保存する|れいとうしてほぞんする——冷冻保存
残り物を温める|のこりものをあたためる——热剩饭
ビールを冷やす|ビールをひやす——将啤酒冰镇
ビールが冷えている|ビールがひえている——啤酒冰好了
電源を入れる|でんげんをいれる——接通电源
電源を切る|でんげんをきる——切断电源
じゅうたんを敷く|じゅうたんをしく——铺上地毯
部屋を暖める|へやをあたためる——提高室温
暖房をつける|だんぼうをつける——开暖气
冷房が効いている|れいぼうがきいている——冷气很足
日当たりがいい|ひあたりがいい——采光好
日当たりが悪い|ひあたりがわるい——采光不好
## 第1週 2日目 料理①
夕食のおかず|ゆうしょくのおかず——晚饭的菜
調味料|ちょうみりょう——调味料
栄養のバランスを考える|えいようのバランスをかんがえる——考虑营养的搭配
カロリーが高い食品|カロリーがたかいしょくひん——热量高的食物
はかりで量る|はかりではかる——过秤
塩を少々入れる|しおをしょうしょういれる——放入少许食盐
皮をむく|かわをむく——剥皮
材料を刻む|ざいりょうをきざむ——切菜
大きめに切る|おおきめにきる——切大一些
ラップでくるむ|ラップでくるむ——用保鲜膜包上
三センチ幅に切る|さんセンチはばにきる——切成三厘米宽
みそ汁がぬるくなる|みそしるがぬるくなる——酱汤温了
## 第1週 3日目 料理②
お湯を沸かす|おゆをわかす——烧水
お湯を冷ます|おゆをさます——把热水弄凉
お湯が沸く|おゆがわく——水开了
お湯が冷める|おゆがさめる——热水凉了
なべを火にかける|なべをひにかける——把锅放在炉火上
水を切る|みずをきる——把水弄干
ご飯を炊く|ごはんをたく——煮饭
混ぜる|まぜる——搅拌
油を熱する|あぶらをねっする——加热油
こげる|こげる——烧焦
油で揚げる|あぶらであげる——油炸
煮る|にる——煮
ひっくり返す|ひっくりかえす——翻过来
ゆでる|ゆでる——焯
味をつける|あじをつける——调味
いためる|いためる——炒
蒸す|むす——蒸
塩を加える|しおをくわえる——放盐
こしょうを振る|こしょうをふる——撒胡椒粉
味見をする|あじみをする——尝味道
味が濃い|あじがこい——味道浓
味が薄い|あじがうすい——味道淡
からい|からい——辣
塩からい|しおからい——咸
すっぱい|すっぱい——酸
できあがる|できあがる——完成
## 第1週 4日目 掃除
掃除機をかける|そうじきをかける——用吸尘器除尘
ちょっとどいて|ちょっとどいて——让开一下
部屋を散らかす|へやをちらかす——搞乱房间
部屋が散らかる|へやがちらかる——房间很乱
部屋を片づける|へやをかたづける——收拾房间
部屋が片づく|へやがかたづく——房间很整洁
ジュースをこぼす|ジュースをこぼす——弄洒饮料
ジュースがこぼれる|ジュースがこぼれる——饮料洒了
ほこりがたまる|ほこりがたまる——积灰尘
ほこりがつもる|ほこりがつもる——堆灰尘
ほこりを取る|ほこりをとる——除灰
床をふく|ゆかをふく——拖地
ほうきで掃く|ほうきではく——用扫帚扫
ふきんで食器をふく|ふきんでしょっきをふく——用抹布擦餐具
水をくむ|みずをくむ——打水
ぞうきんでテーブルをふく|ぞうきんでテーブルをふく——用抹布擦桌子
ぞうきんをぬらす|ぞうきんをぬらす——沾湿抹布
ぞうきんをしぼる|ぞうきんをしぼる——拧干抹布
家具をみがく|かぐをみがく——给家具磨光
ブラシでこする|ブラシでこする——用刷子刷
ゴミを分けるのは面倒だ|ゴミをわけるのはめんどうだ——给垃圾分类太麻烦
スリッパをそろえる|スリッパをそろえる——摆正拖鞋
物置にしまう|ものおきにしまう——收拾到库房
## 第1週 5日目 洗濯
洗濯物がたまる|せんたくものがたまる——要洗的衣服堆积
洗濯物がぬれている|せんたくものがぬれている——衣服是湿的
洗濯物が湿っている|せんたくものがしめっている——衣服没干
真っ白に仕上がる|まっしろにしあがる——洗得雪白
洗濯物をためる|せんたくものをためる——积攒要洗的衣物
洗濯物をぬらす|せんたくものをぬらす——沾湿衣服
洗濯物を干す|せんたくものをほす——晾干衣服
乾燥機で乾かす|かんそうきでかわかす——用烘干机烘干
服をたたむ|ふくをたたむ——叠衣服
服を汚す|ふくをよごす——弄脏衣物
そでが真っ黒に汚れる|そでがまっくろによごれる——袖口脏得黑乎乎的
洗剤を入れる|せんざいをいれる——加入洗衣粉
スーツをクリーニングに出す|スーツをクリーニングにだす——将西装送到干洗店
