## 第6週 1日目 意味が似ていることば
突然|とつぜん——突然
突然電話が鳴った|とつぜんでんわがなった——突然电话铃响了
いきなり|いきなり——突然、冷不防
いきなり泣き出す|いきなりなきだす——突然间哭出来
とたん|とたん——刚一……就
とたんに泣き出す|とたんになきだす——一下子哭了起来
とうとう|とうとう——终于、到底
やっとけがが治った|やっとけががなおった——伤终于好了
うちの猫がとうとう死んでしまった|うちのねこがとうとうしんでしまった——我们家的猫最后还是死了
結局|けっきょく——结果、最后
努力したが結局むだだった|どりょくしたがけっきょくむだだった——努力了最后还是不行
ついに|ついに——终于
ついに絵が完成した|ついにえがかんせいした——终于画完成了
よく|よく——经常、很好地
よくこのレストランに来ます|よくこのレストランにきます——经常来这家餐馆
昨日はよく寝ました|きのうはよくねました——昨天睡得很好
よくやった|よくやった——干得不错
たいてい|たいてい——大体上、一般
たいてい外食します|たいていがいしょくします——一般在外面吃
ふだん|ふだん——平时
ふだんはお酒を飲みません|ふだんはおさけをのみません——平时不喝酒
ふつう|ふつう——一般、通常
梅雨の時期ふつうは雨が多い|つゆのじきふつうはあめがおおい——梅雨季节一般雨水多
たまに|たまに——偶尔
たまに映画に行きます|たまにえいがにいきます——偶尔去看电影
かなり|かなり——相当
かなり大きい家|かなりおおきいいえ——相当大的房子
人がかなりいる|ひとがかなりいる——人颇多
けっこう|けっこう——相当、很
今の家はけっこう気に入っている|いまのいえはけっこうきにいっている——相当喜欢现在的房子
ものすごく|ものすごく——非常、极其
足がものすごく痛い|あしがものすごくいたい——脚非常痛
めちゃくちゃ|めちゃくちゃ——乱七八糟、非常
めちゃくちゃ安い|めちゃくちゃやすい——非常便宜
順番がめちゃくちゃだ|じゅんばんがめちゃくちゃだ——顺序乱七八糟
事故で車がめちゃくちゃに壊れた|じこでくるまがめちゃくちゃにこわれた——因事故汽车被毁坏了
ぜひ|ぜひ——务必、一定
ぜひお越しください|ぜひおこしください——您一定要来呀
どうか|どうか——请务必
どうかお願いします|どうかおねがいします——务必拜托了
まず|まず——首先
帰ったらまずお風呂に入る|かえったらまずおふろにはいる——回去后先洗澡
ともかく|ともかく——总之、不管怎样
言い訳しないでともかく勉強しなさい|いいわけしないでともかくべんきょうしなさい——不要辩解总之先学习
一度に|いちどに——一次、同时
一度に花が咲く|いちどにはながさく——一同开花
いっぺんに|いっぺんに——一下子
たまった宿題をいっぺんに片付ける|たまったしゅくだいをいっぺんにかたづける——把攒下的作业一次做完
いっぺんに疲れが出た|いっぺんにつかれがでた——倦意一下子上来了
## 第6週 2日目 形が似ることば
うっかり|うっかり——不留神、糊里糊涂
宿題をうっかり忘れる|しゅくだいをうっかりわすれる——糊里糊涂地把作业忘了
うっかりする|うっかりする——不留神
すっかり|すっかり——完全
すっかり忘れた|すっかりわすれた——完全忘了
がっかり|がっかり——失望
試験に落ちてがっかりする|しけんにおちてがっかりする——落榜很失落
やっぱり|やっぱり——果然
やっぱり思ったとおりだ|やっぱりおもったとおりだ——果然和所想的一样
しっかり|しっかり——结实、牢靠
しっかりした子ども|しっかりしたこども——成熟的孩子
しっかりしろ|しっかりしろ——振作点
すっきり|すっきり——清爽
部屋がすっきりする|へやがすっきりする——房间很清爽
気分がすっきりする|きぶんがすっきりする——心情舒畅
さっぱり|さっぱり——清爽、完全
風呂に入ってさっぱりする|ふろにはいってさっぱりする——洗个澡舒服舒服
この問題はさっぱりわからない|このもんだいはさっぱりわからない——这个问题完全不懂
ぐっすり|ぐっすり——熟睡
ぐっすり眠る|ぐっすりねむる——熟睡
にっこり|にっこり——微微一笑
にっこり笑う|にっこりわらう——微微一笑
そっくり|そっくり——一模一样
あの親子はそっくりだ|あのおやこはそっくりだ——那母子一模一样
はっきり|はっきり——清楚
山がはっきり見える|やまがはっきりみえる——可以清楚地看到山
のんびり|のんびり——悠闲
のんびり過ごす|のんびりすごす——舒舒服服地生活
のんびりする|のんびりする——放松
きちんと|きちんと——整整齐齐
洋服をきちんとたたむ|ようふくをきちんとたたむ——衣服叠得整整齐齐
ちゃんと|ちゃんと——好好地
態度をちゃんとする|たいどをちゃんとする——端正态度
ふと|ふと——忽然
ふと思い出す|ふとおもいだす——突然想起
わざと|わざと——故意
わざと負ける|わざとまける——故意输掉
ほっと|ほっと——放心
母の病気が治ってほっとした|ははのびょうきがなおってほっとした——妈妈病好了放心了
じっと|じっと——一动不动
じっとがまんする|じっとがまんする——一直忍耐
じっと見る|じっとみる——目不转睛地看
ざっと|ざっと——粗略
ざっと掃除する|ざっとそうじする——粗略打扫
そっと|そっと——悄悄地
そっと近づく|そっとちかづく——悄悄靠近
ぼんやり|ぼんやり——模糊、发呆
休みの日はのんびりしましょう|やすみのひはのんびりしましょう——休息日放松一下吧
## 第6週 3日目 くり返しのことば
どきどき|どきどき——心跳、紧张
胸がどきどきする|むねがどきどきする——心怦怦跳
面接でどきどきする|めんせつでどきどきする——面试时直发慌
いらいら|いらいら——焦躁
いらいらする|いらいらする——心烦
渋滞でいらいらする|じゅうたいでいらいらする——塞车使人心烦
はきはき|はきはき——干脆利落
はきはきと答える|はきはきとこたえる——回答得干脆利落
彼女ははきはきして感じがいい|かのじょははきはきしてかんじがいい——她很麻利给人感觉很好
ぶつぶつ|ぶつぶつ——嘟哝
ぶつぶつ文句を言う|ぶつぶつもんくをいう——一个劲儿发牢骚
彼は何かぶつぶつ言っている|かれはなにかぶつぶついっている——他在嘟哝着什么
うろうろ|うろうろ——转来转去
変な男がうろうろしている|へんなおとこがうろうろしている——奇怪的男子转来转去
ぶらぶら|ぶらぶら——溜达、摇晃
街をぶらぶらする|まちをぶらぶらする——在街上溜达
物がぶらぶらゆれる|ものがぶらぶらゆれる——东西摇摇晃晃
ぎりぎり|ぎりぎり——勉强
ぎりぎりで最終電車に間に合った|ぎりぎりでさいしゅうでんしゃにまにあう——勉强赶上了末班车
締め切りぎりぎりに願書を出した|しめきりぎりぎりにがんしょをだした——马上到截止日期了才交报名表
ぴかぴか|ぴかぴか——亮晶晶
靴をぴかぴかにみがく|くつをぴかぴかにみがく——鞋擦得很亮
のろのろ|のろのろ——缓慢
電車がのろのろ走っている|でんしゃがのろのろはしっている——电车缓缓行驶
ぺらぺら|ぺらぺら——流利、单薄
田中さんは英語がぺらぺらだ|たなかさんはえいごがぺらぺらだ——田中英语说得很流利
ぺらぺらの紙|ぺらぺらのかみ——薄薄的纸
ぺこぺこ|ぺこぺこ——饿瘪
おなかがぺこぺこだ|おなかがぺこぺこだ——肚子饿瘪了
ますます|ますます——越来越
物価はますます上がるだろう|ぶっかはますますあがるだろう——物价逐渐会上涨
だんだん|だんだん——渐渐
だんだん寒くなりますね|だんだんさむくなりますね——逐渐变冷了
どんどん|どんどん——快速、不断
彼の日本語はどんどん上達している|かれのにほんごはどんどんじょうたつしている——他的日语水平快速提高
そろそろ|そろそろ——该、差不多
そろそろ始めましょう|そろそろはじめましょう——咱们该开始了
もともと|もともと——本来
